class,text
negative,"there ? s nothing quite like a gory anime . really , and this is the truth , no other genre in film gets away with such violence without a word being said in the media about it . with anime , a common shot is watching a body getting quickly cut in two , and the rest of the insides falling out seconds afterword . this is a standard practice in anime , or at least the half dozen or so titles that i ? ve seen . vampire hunter d is a gory , gory film . if they ever made a live version of the film , it would be banned in several countries and given a rating somewhere below xxx . it ? s not that it ? s gore is unique - it ? s just like other gory animes - but this one was supposed to stand out because of the complexity it ? s story , characters , animation , etc . . . it really didn ? t . it was disgusting and gruesome , which overshadowed the story , what little of it there was . it seems that in the not too distant future vampires and evil control the world , because god knows that our local police force just can ? t seem to get a handle on vampires in the movies . one evening , a blond peasant girl , drawn to look 17 and innocent ( a foreshadow that we will see her naked , i guessed early on it would be in the shower or in a rape scene ) is out fighting evil in her local forest preserve when she stumbles onto the private property of a ten thousand year old vampire ( insert strom thurmand joke here . ) of course , he never put a ? no trespassing ? sign on his yard , so one can ? t really blame her , but he ? s upset anyway and demands retribution . she gets the obligatory bite on the neck ( aren ? t there other places to get blood from ? it seems like a bite in the elbow would do well enough . if it's good enough for doctors to draw blood from , then why do vampires stray from that sight ? ) to fight the spell , she enlists the help of a mysteriously tall , dark and handsome vampire hunter ( you guessed it , his name is d ) . the vampire hunter is torn between fighting vampires , being attracted to the 17 year old peasant girl and finding reasons not to talk too much . you see , like all heroes in these kinds of stories , he ? s a brooder , who ? s sole purpose in life is to remain really , really silent . when he speaks , it ? s in cliches . heroes like this are bad when they ? re live , even worse when animated . later the vampire hunter storms the castle to meet the big bad vampire , who wants to marry the peasant girl because he ? s bored after 10 , 000 years of living ( the only clever vampire insight made in the movie ) , will vampire hunter d rush to save her in time ? will we see blood and intestines spattering on every place imaginable ? in it ? s defense , the animation , when focusing on being original rather than recycling anime slicing , could at times be original . the talking hand was clever - and i think the inspiration for a skateboard-related logo . and that ? s the best defense i can think of . i understand that vampire hunter d is supposed to be a fave among anime fans , but i really don ? t see it . it ? s an excuse to watch blood dripping from teeth , blood exploding out of eye sockets and horses necks , and most importantly , like all violent anime , it is an excuse to see animated breasts . why ? what is the point of that ? maybe i have to understand the genre and look past the obsessive gore and mysogny . i ? m not a prude , i just don ? t think it ? s warranted . it puts itself so far out in front of the movie that everything else gets lost . is there a neccesity in seeing a 17 year old in the shower ? of course not ? it ? s done for shock . it ? s tasteless and despicable . "
positive,"as i walked out of crouching tiger , hidden dragon i thought to myself that i had had just seen a great film . with the passage of a few hours i tempered my enthusiasm and started pondering the question of whether a masterpiece must implicitly be a "" great "" piece of work and viceversa . attempting to make a distinction may be a matter of splitting hairs . i avoided a commitment by appealing to etymology . as the word implies , a masterpiece is any work which embodies the skills of a master . as such it should suffice to say that it is a product of exceptional quality . crouching tiger , hidden dragon fits comfortably in that category . crouching tiger , hidden dragon immerses the viewer in an idealized world of oriental folklore , with the requisite blend of legend , fantasy , magic and mythology . it is reminiscent of a wagnerian epic with characters which might as well be half-gods - greater than life , purer than life , stronger than life , physically invincible and able to accomplish superhuman feats , but with a human soul that makes them ultimately vulnerable . all the classic elements of the oriental mystique are thrown into the mix , including the art of contemplation and the concept of martial dexterity as the physical equivalent of spiritual advancement . the classic struggle between good and evil is the inevitable backdrop , with advanced masters of each and a golden pupil , which must choose between the two . it is the gifted pupil who , under the influence of the evil master steals the holy grail in the form of a magic sword which is the focus of the conflict at the heart of the legend . the elements of romance at two different levels of enlightenment ( a pair of masters and a pair of youngsters ) are poignantly represented . the paradox of oriental restraint existing side by side with all consuming passion in the same breast is projected effectively . the fight scenes are stunning balletic tours-de-force , not to be taken literally but clearly to be enjoyed as superb cinematic art , as are the prodigious leaps and flights to , from and between rooftops , the martial combat at the top of swaying bamboo branches and the combatants skipping like pebbles along the surface of a lake . there need be no question of suspended disbelief when one is in the presence of poetry . as in a wagnerian opera there is a substantial story line , which takes place at an ordinary human level , yet the entire project is to be accepted as a work of art rooted in fantasy . do not assume , however , that the art is limp-wristed . for those who are put off by the "" art "" label this film can be confidently recommended as engrossing entertainment at the levels of adventure , action and romance . there are no weak performances in this movie . michelle yeoh imbues her character with depth , humanity and wisdom . chow yon fat projects dignity and purity of heart . zhang ziyi is a budding superstar . she is radiantly beautiful and totally persuasive in a multifaceted role . cheng pei pei as the evil master and chang cheng as the bandit prince acquit themselves admirably . kudos to screenwriters james schamus , wang hui ling and tsai kuo jing , choreographer yuen wo-ping , photography director peter pau and music director tan dun , each of which contribute quality components to this extraordinary film . ang lee as the director , co-producer and mastermind of the project gets the lion share of the credit . this is destined to be one of those films that everybody likes , including those who hate martial arts movies . don't miss it . "
negative,"i looked at the "" internet movie database "" 's awards section for this film , and found that this was nominated for a golden globe for "" best picture ( drama ) . "" anyone who's seen this film can back me up on this : this is the worst of the "" great "" disaster films , and that's not really saying a lot for this film .  "" earthquake "" is basically notable because it originally included some theatre thing where the theatre shook when the big earthquake occured . on video , it's a bland and slow-moving film which gives us a bunch of different characters ( the disaster film requisite ) , then brings them together in the struggle against the big disaster . while this worked in , say , "" the towering inferno , "" it doesn't here for one single reason : we don't care about any of the characters . the film gives us charlton heston ( in one of many crap 70s films he made , including "" skyjacked "" and that classic , "" soylent green "" ) as a rich man married to ava gardner , who is having a little affair with a young single mom ( genieveve bujold ) ; a renegade police officer on suspension ( george kennedy , in his least humored performance ) ; in the second weirdest subplot , a motorcycle stuntman ( richard roundtree , right after his "" shaft "" thing ) whose big stunt is he goes on a little track that goes upside down ( yea , snore ) ; and the weirdest subplot : a military man/bag boy at a grocery store who has a little thing for buxom victoria principal , and eventually gets vengeance on those guys who made fun of his hair ( ! ! ! ) . in smaller subplots , there's a pointless bit about people who are flying over l . a . ( the city in the film , by the way ) , one who's playing cards and married to a boring non-acting husband ( you think this one can go nowhere ? guess again . he gets interested in the final frames ) ; there's genieveve bujold's moron son , who has a little adventure with wires ; and for some much-needed comedy , there's walter matthau ( billed as walter mutha . . . . - the only laugh in the film ) , as a wild drunkard , who's big moment is a dance he does at a critical time . as for the actual "" earthquake , "" it's rather a let-down . there's a full hour of character-setups , none of which is interesting , then about 10 minutes of shaking , crumbling , and a bit where a house almost falls on bujold ( narrowly missing ) . this film needed that whole theatre-shaking : they needed to wake everybody up because they were so bored . there's little suspense following the quake , although this film tries for it . there's an adventure in a crumbling high-rise office building , the wires with the kid , and the movement of people who are all injured . but none of these are all-too suspenseful . the finale with the heston/gardner/bujold love triangle is ended in a basic flip-of-the-coin bit , which brings out a big let-down . and there's no real finale . even "" volcano "" ended nicely , and that movie really sucked . not only is it hokey , but you don't care about any character . who cares if heston dies ? who cares if he choses bujold or gardner ( although i would have chosen gardner , mainly on the basis that she can actually act ) ? who cares if richard roundtree makes money on his stupid "" stunt ? "" who cares if that idiot kid falls to his death on some wires ? and who cares about that whole plane spiel ? if anything , "" earthquake "" is worth a viewing for the same reason "" glen or glenda ? "" is . i mean , i laughed at this more than i did at "" bio dome . "" but that's another story ( and review ) . in short , "" earthquake "" gives disaster pics a bad name . "
positive,"usually when a blockbuster comes out , it's loaded with effects , stars , bad scripts , and plenty of action . mystery men may contain an all-star cast , and efects , but the clever script and characters are what really works , which is rare to see this year . the film is based upon the comic book series "" the flaming carrot "" by bob burden , in which 3 wanna be super heroes try and fight crime , only to be out done by the real hero of champion city , captain amazing ( greg kinnear ) . things go a little haywire , when the sinister casanova frankenstein ( geoffrey rush ) is released into the city , where he captures captain amazing , and plans to wreak havoc upon champion city . well , the trio decide to take matters in their own hands , by saving the city , but first they need some assitance . this is where the film takes a turn for the better . in the beggining , there were only 3 wanna be heroes .  "" blue raja ( hank azaria ) , "" mr . furious ( ben stiller ) and "" the shoveller ( william h . macy ) . sure they were enterataining , but their acts grew old fast . that is until they aquire "" invisible boy "" ( kel mitchell ) , and "" the bowler "" ( janeane garafalo ) and "" mr . splein "" ( paul reubens ) , 2 of which rescue the film from becoming a disastorous mess . thankfully , the original 3 heroes become amusing , with some support of reuben and garfalo on screen . the whole premise is rather ridiculous , but packs a few punches to keep interest . for one , the film is considerably clever . it literally pokes fun at super hero films , like batman and robin , superman etc . in fact , many scenes are similar to batman and robin , including the opening sequence , only altered in a humorous and superior way . a part of the cleverness comes from the cast . sometimes a film with such talent is overblown , but the acting is what keeps it alive here . while azaria and macy were enteratining , 2 characters really stood out . one was paul reuben . no matter how disgusting or revolting "" mr . splein "" may be , you still can't help but laugh . it' so incredibly moronic , it's just a riot watching reuben relieve himself of bodily functions . janeane garafalo also was an interesting character . she seemed to be the most outgoing and convincing character on screem , due to her enthusiasm , that kept the film flowing . men is worth seeing alone , for those 2 troubled heroes . on the downside , a few of the heroes and especially the villain never really lift off . kel mitchell and geoffrey rush , were both utterly useless . their parts were so limited , they'd be lucky at all to be on screen for more than 20 minutes . ben stiller too was wasted , mostly because of his unlikeable power and dialogue . none of these characters get a rise out of anybody , but happily they are lost in the charming flow of the film . as far as the budget goes , it was wisely spent on the cast , not the effects . while the set designs and action all look nice , i'm glad there was a seperate aspect , that the film focused on , and for that i applaud . slow at times , and rather pointless , mystery men still delivers . it forgets about money making , because it's not likely to make a bundle like it's proceeders , and that's what works . stupid ? maybe , but for once i'm not disappointed . no one expected an intelligent film , but you get a film thats wit captures your attention and makes you forget this miserable year . "
positive,"now that "" boogie nights "" has made disco respectable again ( well , fashionable at least ) , we shouldn't be surprised to see more films glorifying that dubious era . the latest art house interpretation is whit stillman's "" the last days of disco . "" stillman , who made "" metropolitan "" and "" barcelona "" using some of the same actors , uses disco's final hours to highlight what is another conversation-heavy movie that benefits from typically astute writing from the director . the young , upwardly-mobile professional ( don't call them yuppies ! ) men and women of "" the last days of disco "" frequent a prestigious new york city nightclub pulsating to the bass-pounding rhythms of earth wind and fire , amy grant , and andrea true connection . here they talk and talk and talk , intellectualizing about such things as dating , success , and being liked , accepted , and admired . if talk is cheap , "" the last days of disco "" must surely have been an extremely inexpensive movie to shoot . what makes the film so entertaining is that this preppie , harvard-educated jet set actually have something to say and say it with wit , perception , and style ( including , at one point , a riotously inventive deconstruction of "" the lady and the tramp "" ) . na ? ve alice ( chlo ? sevigny ) and sophisticated charlotte ( kate beckinsale ) are recent college graduates who work as assistant editors for a new york publishing house . charlotte is confident and outspoken--perhaps a little too outspoken ; alice is shy and introverted , "" like a kindergarten teacher . "" the two friends often doll themselves up and head out to the nameless nightspot , looking good and looking for excitement ( and that ms . beckinsale sure looks good on a dancefloor ! ) . here they meet , or re-meet , a variety of eligible men , many of whom they knew in college . des ( played by stillman favorite christopher eigeman ) is one of the club's managers whose job is on the line for sneaking his ad agency buddies in the back . des has reached a crisis point in his life : he just found out--last wednesday , in fact--that he's gay . whether it's true or not , it makes for a convenient excuse to dump his latest girlfriend ( jennifer beals in a small but soul-baring turn ) . charlotte observes cattily that the only gay thing about des is his mouth . jimmy ( mackenzie astin ) is the advertising exec who , by the end of the picture , winds up heading for a new job opportunity in spain ( visions of "" barcelona "" ? ) . josh ( matt keeslar ) is an assistant district attorney who dreams of being able to say , just once , "" book this clown ! "" and robert sean leonard plays another one of alice's revolving suitors ; the two have an amusing exchange about the true definition of virginity . any film that can make robert sean leonard palatable is worthy of respect in my book . in fact , the entire ensemble is appealing in that well-spoken stillman way . while the eschewing of "" ferocious pairing "" is a favored topic of conversation in the film , the protagonists tend to slip in and out of love , lust , and trouble with each other in an emotional merry-go-round that cleverly develops its characters through the "" preferred "" dynamics of social group interaction . more mature than stillman's previous two films , "" the last days of disco "" is as consistently droll as it is stimulating . it's a movie you should definitely get on down to . "
negative," "" pokemon 3 : the movie "" has a lot of bad things in it . first of all it's a plot heavy mess that has bad voice talents , badly written script and fantastic animation . the first film came out the end of 1999 and was a huge hit grossing almost $90 million domestically . a sequel soon followed and even made $45 million . warner has released their third movie based on the immensely popular video game and tv series and its a waste of time and celluloid . this time ash ketchum and his friends are on their way to the johto battles ( which my little brother told me the new spinoff is "" pokemon : the johto journeys "" so go figure ) anyway he comes in contact with a young girl who's father has disappeared after trying to discover the unown . they are small pokemon with a powerful punch and have great psychic abilities . the unown bring together their psychic abilities and create entei a powerful legendary pokemon who barriers young molly's house and creates every wish she wants . now it's up to ash and his friends to stop this pokemon entei and show him to be a good pokemon rather than a bad one . too bad really that this is a bad movie , surprisingly the first movie was entertaining and somewhat absorbing , the second was a piece of trash and this one is almost in between . it has some good qualities ( animation , message in the end ) but the flaws seem to overpower the goods . i'm still not sure what the big thing is about pokemon , they are ugly little animals who speak their own name for their language ( besides meowth , my personal favorite ) and you don't understand what they are saying . my little brother just thought the movie was amazing , and i kept leaning over and asking him happened , or what pokemon that was . his response was a big lecture of how this is that , and that is this . . . he sure did put me in my place . with the second and third movie being bad , i have a feeling pokemon 4 : the movie might be a total bust as well .  "" pokemon 3 : the movie "" has some redeeming qualities for the kids , and the pokemon fans will dig every minute of this film . for those parents and/or brothers and sisters who have to sit through this . . . bring a pillow . "
negative,"according to the publicity material , with this movie the directors "" hope to restore good old-fashioned bowling to its rightful place in the mainstream of american consciousness . "" hmm . you never know , they just might be on to something . what with the rise of geek chic , lounge music and seventies fashion , the ever-contrary kids of the nineties might just latch on to bowling as another terminally unhip bastion of tackyana to claim as their own . but then , i doubt if kingpin will have anything to do with it . it's cheesy all right , but connoisseurs of bad taste will find this film exudes that bland smell of stale jokes rather than the invigorating stink of true kitsch . that's a shame , because , in the first ten minutes or so the film promises to be a lot more . woody harrelson plays the hotshot bowler on the rise , roy munson . the movie opens in the fifties with roy's dad dishing out the reader's digest/gumpian wisdom in scoopfuls , shifting to the 70s for a hilarious spoof of saturday night fever . the sardonic tone of the proceedings is much enhanced by the presence of bill murray , as the delectably slimy big ern mcracken . it's thanks to murray that the first quarter of kingpin seems so good - he gives the wry , derisive edge to this otherwise rather unfocused comedy . mccracken dupes munson into a hustling job , then abandons him to an angry mob who mangle roy's hand . then it's fast forward 17 years later when munson is a fat , balding loser with a prosthetic rubber hand . he's hopeless until he meets ishmael ( randy quaid ) , an amish amateur bowler that munson takes on as protege . so together they set out for the million dollar bowling tournament in reno , picking up pretty hustler claudia ( vanessa angel ) on the way . with the exit of bill murray , the filmmakers seem to have only one direction to go , and that's . . . dumb and dumber . yes , indeed , kingpin is brought to you by those modern proponents of laxative humour , peter and bobby farrelly , the directors of the aforementioned jim carrey vehicle . so , prepare for much slaparound comedy with flying rubber hands , distended nipples , ridiculous hair and bull semen . get set for stock fish-out-of-water situations when city-boy roy puts on a beard and tries to blend in with the amish community , or when suaku straitlaced ishmael takes on smoking , striptease and unchristian neighbour-socking . now , don't get me wrong , there's nothing wrong with cheap humour , and i had my fair share of lavatorial laughs with woody and randy . the trouble is that these jokes aren't bold or funny enough to drive a movie that bumbles along without much sense of direction . it lurches from sports movie to amish-mocking to road-trip to sentimental melodrama , ( pausing for a broadside spoof of indecent proposal , and many shameless plugs for the accompanying pop soundtrack ) , never quite getting it all together . some gags fall flat from a lack of build-up , while there are bits and pieces in the movie that simply don't do anything . why the long , unfunny fight in the car park ? why two of these ? why does that guy wear mascara , or that guy have a glass bowling ball with a rose in it ? the film is full of these half-thought-through ideas that give the impression of any old gaffer , grip or makeup artist throwing in random stuff and saying , "" wouldn't that be funny ? "" . well , no , actually . the actors don't do the movie much favours either . woody harrelson comes off okay , plausibly acting dumb , smart , cynical or innocent when the implausible script calls for it , but randy quaid is a ceaseless ham , and vanessa angel has no talent ( like schwarzenegger , she seems more convincing playing a computer-creation than a human -- take the tv series weird science . . . please  ) . even murray hams it up when he reappears in the movie's climax . all in all , a fairly useless attempt at comedy , and a certified no-hoper at kickstarting the bowling renaissance . we'll have to look to a reinspired john waters , or perhaps somebody from down under ( "" strictly bowling "" , anyone ? ) for the definitive bowling comedy . the flying inkpot's rating system : * wait for the video .  * * a little creaky , but still better than staying at home with gotcha !  * * * pretty good , bring a friend .  * * * * amazing , potent stuff .  * * * * * perfection . see it twice . "
positive,"voices . . . . . trey parker , matt stone , george clooney , minnie driver .  "" south park : bigger , longer and uncut "" is undoubtedly crude , offensive , mean-spirited movie , that comes off as a politcally correct movie too . if your canadian , a strong christian , fat , gay or anything else , you will be offended . but when you watch this movie , there is no doubt that you will laugh . based on the wildly popular comedy central tv show , south park stars cartman , an overweight , foul-mouthed kid , with attitude , and a sweet side . kenny , a poor kid who gets killed in every episode , and talks with his coat hood covering his head . stan a regular , sometimes boring kid who has problems with women . and kyle a lonely jew who talks to his poop . the movie opens with a funny , but messageable song , that all of the people of south park sing . cartman , stan , kenny and kyle are very excited to see the new terrance and phillip ( beavis and butthead types ) movie "" asses of fire "" . but when the kids get up to the movie to get the tickets , they learn the movie is rated r , which of course means that anyone under the age of 17 cannot get in without a parent or legal guardian . the kids do not understand this , and they pay a homeless man to buy their tickets . while in the movie , laughing at the movie , terrance and phillip cuss repeatedly entertaining the kids . they kids then go out and cuss themselves , getting in trouble and causing kyle's mom to go against the mpaa . while doing this kenny learns a thing or to , by proving to cartman he can light his fart on fire . kenny does so , dies , and goes to hell , to find out that satan and saddam huiessan ( homosexual lovers ) , are about to take over the world , if terrance and phillip die . >from here on , nothing more should be said to keep the rest a surprise . but believe me , this isn't your regular south park tv show , and should not be seen by anyone under 14 or more . this film contains extreme profanity ( over 130 "" f "" words and a collection of others ) . but beyond being bad in a tasteless type way , south park : bigger , longer and uncut has many messages that are embedded inside it . but i bet you will not leave the movie , for at least laughing one time or more . and enjoying yourself . take it from me , south park : b , l , and u , isn't as good as you'd hope , but it is good for some laughs . "
positive,"imagine this scenario : you and any of your family members are scudding through one of those long , excruciating cross-country car trips , far from the city and into the deserted rural routes . so far , the trip is idyllic when , abruptly , your car malfunctions and you are stranded in the middle of nowhere . it is not an easy situation , but a perfectly plausible one , the panorama in which breakdown musters it's throbbing suspense and skillfully executed tautness . it is not easy to cobble a distinct and gripping thriller nowadays , but breakdown doesn't bungle into rudimentary plot holes or cliches and it derives a masterful , titillating climax that by it's finale , engrosses a viewer with total absorption . the plot is somewhat reminiscent of 1988's the vanishing . kurt russell and kathleen quinlan respectively play jeff and amy taylor , a massachusetts couple en route to california for a brand new job . when they stop for gas somewhere in the arid southwest , jeff is confronted by a pugnacious driver , who later , will be an important player in the plot department . minutes later after that , their brand new , strikingly red , jeep grand cherokee unexpectedly stops . jeff cannot detect the car's problem , so he allows amy to take a ride with red ( j . t walsh ) , a heedful truck driver who will convey her to the nearest town , where jeff will meet her at a local diner . it is facile for the film to turn into a pseudo-suspenser , but instead it opts for maximum fervor . jeff manages to re-start the car himself , but when he arrives at the diner , she is nowhere in sight . disconcerted , the coffee shop's bartender informs jeff where to search for his wife , a town about twenty miles from here . there , trouble arises . and i shall not reveal anything else , since that would be spoiling the fun of what's head . there are many involving , tight scenes in breakdown but the final climactic period which includes a magnificent chase with three cars and a huge truck , will have you feeling as if your legs are made out of pure foam . it is a pleasure to be part of a classic confrontation of good vs evil , and rooting for the good guys , in this case jeff . kurt russell is one of the few top-notch hollywood actors which doesn't overblow his acting , and gradually gains reliance on his role as it progresses . so you can assume his alteration in breakdown is letter-perfect . suffice it is to say he undergoes a transformation , from a jolly man , to a guy frantically pursuing a loved one . not many well-paid actors can deliver these type of performances , but russell is one of them . as an everyday man , he pulls it off extremely convincingly , what also surprised me more was his rigorous physicality , which he effectively practices almost all throughout the films 93 minutes . although the film is blotted with a couple of portentous action sequences ( very well done ) yet the tightness is generated by the subtle circumstances this man is presented with . faced with an enigma about his wife's whereabouts , the movie succeeds by conveying us in realistic territory with veritable characters , including the cryptic villains , who in essence , make the movie what it is . what's most impressive however , is the feature debut by writer/director jonathan mostow . mostow , hitherto directed the showtime thriller flight of a black angle , alleviates the contrivances and generics of the script by gingerly pursuing the trajectory of the plot , efficiently letting the tone and the mood of the story generate that nail-biting suspense sought for in a well- made affair . contrary to most american thrillers , he doesn't rely on visual flair , but on aesthetics and substance . after breakdown , he should gain vast notoriety . the villains in the movie aren't your routine out-of-this-world idiosyncratic psychos that are harming for no particular objective . the baddies in breakdown , all well acted , are normal , seemingly inoffensive townspeople who beneath their trustworthy layer , conduct an amoral business of corruption and murder . the movie smartly portrays these men as loathsome rednecks , and , of all things in the world , it is becoming rather easy to root for villains ( jon voight in anaconda ) in today's movies . worth a special mentioning is j . t walsh ( who previously worked with kurt russell in executive decision ) as the leader of the gang , he renders a deliciously wicked performance , temporarily stepping out of the minor roles he is known for . alfred hitchcock used suspense--and action-- not only to stimulate , but as a way of aiding his audience's fascination in his stories , which were slowly realizing man's biggest fears . breakdown yields exactly that . it magnificently taps into the psyche of an ordinary man , acting like an ordinary man , looking like an ordinary and some sort of superhero . despite one or two iffy moments even hitchcock , i think , would approve of breakdown .  ( 1 : 33 ) "
negative,"the swirling sick feeling hit me just a few minutes into "" heartbreakers . "" ray liotta's character was making out with his secretary when his new wife knocked on the door of his office . while scrambling to collect himself , he frantically shouted to her , "" just wait a sex ? er , i mean sec ! "" i was struck by a wave of revulsion , thinking , "" geez , didn't lines like that die when 'three's company' was canceled ? "" over the next few minutes , as the barely double entendres and lingering cleavage shots grew more numerous , i realized that the mindset behind "" heartbreakers "" predated "" three's company . "" suddenly , i had an out-of-body experience as my internal way-back machine swept me to the mid-1960s . all across america , the counter-culture was growing like wildfire , but there was scant evidence of it on tv . while young people were challenging traditional values on the streets , frustrated teenagers like me were stuck at home , sulking while our parents enjoyed the latest bob hope special . women in skimpy bathing suits would prance onscreen while hope made growling noises and leered at their breasts . on another channel , dean martin made wisecracks about "" booze and broads "" and peter lawford , decked out in love beads and a nehru jacket , purred suggestive one-liners as he ogled the go-go dancers . the adults laughed and laughed .  "" heartbreakers "" reeks of that stagnant mentality , from its lingering shots of jennifer love hewitt's vah-vah-voom breasts to its leaden screenplay , which paints women as haughty schemers and men as drooling buffoons too sex-obsessed to realize they are being manipulated . in addition to liotta and hewitt , the cast includes sigourney weaver , gene hackman , jason lee , nora dunn and anne bancroft . i can't imagine what drew performers of their caliber to this project . perhaps they thought it was a parody of the sniggering sex comedies of the '60s . if so , they were sadly mistaken . the story revolves around a mother-daughter con-team . it opens with the marriage of max ( weaver ) to dean ( liotta ) , a new jersey chop shop operator . having withheld sex until the honeymoon , max pretends to pass out on their wedding night . the next morning , she feigns illness , sending a very horny dean off to the office , where he ends up in the arms of his new secretary . just as the two are about to get overtly physical , max bursts into the room and catches them . the "" horrified "" bride dissolves the union , garnering a healthy cash settlement along the way . of course , the secretary was really her daughter page ( hewitt ) and the whole thing was a set-up . the women move on , but an irs agent ( bancroft ) catches up with them and demands a huge amount of money to cover unpaid taxes . in desperate need of funds , max and page head for palm beach to replay the scam . their mark this time is william b . tensy ( hackman , in hideous make-up ) , a decrepit tobacco tycoon obsessed with the joys of smoking . max starts to put the game into action , but page is so repelled by the old man ( and angry with her mom ) that she slips off to enact her own score , targeting jack , a laid back young beach bar owner who is worth a fortune . complications arise when page realizes that good-natured jack is stirring actual emotions in her steely little heart . as if that wasn't enough , dean reappears on the scene with revenge on his mind . the attempt to weld a romance onto a caper comedy served only to remind me of the infinitely superior "" a fish called wanda . "" i won't bother to compare the two . suffice to say that everything done right in "" wanda "" is done wrong here .  "" heartbreakers "" is soulless , inept and , at 123 minutes , at least a half-hour too long . sigourney weaver and jennifer love hewitt throw themselves into their parts , but have nowhere to go with the metallic characters . gene hackman is utterly wasted in a one-note , one-joke part that has him doing nothing but smoking , coughing and waxing rhapsodic about smoking and sex . poor jason lee is stuck in the ingenue role and the normally charismatic actor comes off as merely bland . ray liotta manages to squeeze a tiny bit of humanity and humor into his walking clich ? , but only a bit . the low point in the film has weaver employing a russian accent bad enough to make boris and natasha wince , while doing half-assed slapstick with a broken off penis from a statue . bear in mind , though , that this is merely the worst segment of a movie made up of nothing but low points . if you remember bob hope specials with fondness , this might be your cup of tea . as for me , i'm going to watch "" a fish called wanda "" now and try to forget i ever saw "" heartbreakers . "" "
positive,"after a successful run in australia last year , and with much critical praise heaped upon it , muriel's wedding opens into medium release this weekend in north america . muriel heslop is a withdrawn , overweight young woman living in porpoise spit , australia . she is often the target of her father's frequent rants at the family , and drowns out her feelings of inadequacy with abba music and fantasies of marriage . her self-loathing is such that only being wed shall she prove herself to be a success ; marriage will transform her into a new person who is respected and admired . after her four cliquey friends dump her , muriel plots to follow them to a resort where they are celebrating the honeymoon of one of the girls , and muriel's wedding unfolds from there . toni collette plays muriel in a winning performance , conveying both the sadness of her character and her desperate eagerness to be accepted . collette gained a frightening 43 pounds in order to play the chubby title character . she has a natural screen presence and exudes charisma , easily winning the audience over with an honest , painful performance . collette basically carries the film , appearing in almost every scene . muriel's father , bill "" the battler "" heslop , is portrayed by bill hunter as a slick politician/developer . while chumming around with young fans and crowing 'you can't beat progress' ( his slogan ) , bill labels his family as worthless and embarrassments . rachel griffiths plays rhonda , who becomes muriel's cheeky new friend in the film . she has good chemistry with collette , and the film suffers when griffiths is off-screen . muriel's tormenters , played by pippa grandison , rosalind hammond , belinda jarrett and sophie lee , are two-dimensional caricatures , all saucy , vain and bumblingly spiteful , though that is probably due to hogan's scripting muriel's wedding is essentially a genre teen comedy with more intelligence and a lot of charm . hogan's use of abba tunes ( which virtually comprises the entire soundtrack ) is interestingly appropriate , although its repetitiveness tires after awhile . hogan's script is right on the mark in terms of proportionately mixing comedy with muriel's earnest quest for acceptance , and the gorgeous scene with muriel window-shopping beautifully illustrates the wonder that marriage has for her . the glaring pastel colours worn by the performers is an interesting touch . muriel's wedding features a fine performance by toni collette and a charming , if a bit too straightforward and conventional story by p . j . hogan . on my four star scale , i give muriel's wedding three stars . "
negative," "" idle hands "" is distasteful , crass and derivative . if an original thought found its way into this horror-comedy it would die of loneliness . plus , you have to question the judgment and sensitivity of studio executives who would green light the release of a movie dealing with the slaughter of innocent teen-agers the week after the tragedy in littleton , colo . the movie is insulting to horror film fans and teen-agers . the plot , what little there is , deals with anton ( devon sawa ) , a high-school slacker who's hand goes on a murderous rampage after becoming possessed . along the way the hand kills anton's parents and his two best friends . the friends , also slackers , are so lazy that they return from the dead because the walk into the light was too far for them . that is the level of this's atrocity's humor . the movie treats death as a joke .  "" idle hands "" is gruesome and morbid . the performances are stereotypical and cartoonish . i realize this is supposed to pass for comedy , but recent events have surpassed what is on the screen . it is not the fault of the filmmakers that real life has overtaken reel life . and i can only presume that the writers of "" idle hands , "" terri hughes and ron milbauer , were trying to make some statement about today's young people and their values in a satiric vein . however , it's hard to laugh at death these days , especially ones involving young people . with the real horrors of the world put before us on television , a stale pastry such as "" idle hands "" should be held from release for a few weeks or months to give us time to catch our collective breaths .  "" idle hands "" is bad , no matter the circumstances in the world outside . but the context of recent events only heightens its shortcomings . the time is not right for this type of movie . and as far as "" idle hands "" goes , the time may never be right . this is a movie that shoud be consigned to the trash bin of cinema . "
